,Grupo A,Grupo B,Grupo C,Grupo D,,Octavos (AUTO GENERATED),,Cuartos,Semis,Final,GANADOR,3ER PUESTO
1,Holanda,Inglaterra,Argentina,Francia,,A1,Holanda,,,,,(manual input)
2,Senegal,EEUU,Polonia,Australia,,B2,EEUU,,,,,
3,Ecuador,Iran,Mexico,Tunez,,,,,,,,
4,Qatar,Gales,Arabia Saudi,Dinamarca,,C1,Argentina,,,,,
,,,,,,D2,Australia,,,,,
,Grupo E,Grupo F,Grupo G,Grupo H,,,,,,,,
1,Japon,Marruecos,Brasil,Portugal,,E1,Japon,,,,,
2,Espana,Croacia,Suiza,Korea,,F2,Canada,,,,,
3,Alemania,Belgica,Camerun,Uruguay,,,,,,,,
4,Costa Rica,Canada,Serbia,Ghana,,G1,Brasil,,,,,
,,,,,,H2,Korea,,,,,
,OFICIAL,,,,,,,,,,,
,,,,,,B1,Inglaterra,,,,,
,,,,,,A2,Senegal,,,,,
,,,,,,,,,,,,
,,,,,,D1,Francia,,,,,
,,,,,,C2,Polonia,,,,,
,,,,,,,,,,,,
,,,,,,F1,Marruecos,,,,,
,,,,,,E2,Espana,,,,,
,,,,,,,,,,,,
,,,,,,H1,Portugal,,,,,
,,,,,,G2,Suiza,,,,,
